in0,in1,in2,in3,in4,in5,in6,in7,in8,in9,in‚ ,in‚¢,in‚¤,inA,inB,inC,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,inƒA,inƒC,inƒE,inD,inE,inF,Time,Number,Date
3.35,4.25,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.72,3.36,3.47,3.34,4.52,4.99,4.99,4.99,4.45,3.76,3.98,4.28,4.99,4.99,4.99,2.5,4.52,3.42,2.72,3.05,0.01,1,2019/11/21
3.35,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.72,3.37,3.47,3.33,4.52,4.99,4.99,4.99,4.44,3.77,3.98,4.29,4.99,4.99,4.99,2.5,4.52,3.42,2.72,3.05,0.05,,
3.35,4.25,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.72,3.37,3.46,3.33,4.52,4.99,4.99,4.99,4.45,3.77,3.99,4.29,4.99,4.99,4.99,2.5,4.53,3.42,2.72,3.04,0.09,,
3.35,4.25,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.72,3.36,3.47,3.33,4.52,4.99,4.99,4.99,4.46,3.77,3.99,4.29,4.99,4.99,4.99,2.5,4.52,3.42,2.72,3.04,0.12,,
3.35,4.25,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.71,3.37,3.46,3.33,4.51,4.99,4.99,4.99,4.46,3.78,3.98,4.29,4.99,4.99,4.99,2.51,4.52,3.42,2.73,3.04,0.16,,
3.35,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.71,3.36,3.46,3.33,4.52,4.99,4.99,4.99,4.47,3.79,4,4.3,4.99,4.99,4.99,2.51,4.5,3.43,2.73,3.05,0.2,,
3.35,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.71,3.36,3.46,3.33,4.51,4.99,4.99,4.99,4.46,3.79,4,4.29,4.99,4.99,4.99,2.52,4.5,3.43,2.73,3.05,0.23,,
3.35,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.71,3.36,3.46,3.33,4.52,4.99,4.99,4.99,4.45,3.79,4,4.29,4.99,4.99,4.99,2.52,4.49,3.43,2.72,3.05,0.27,,
3.36,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.71,3.36,3.45,3.33,4.52,4.99,4.99,4.99,4.46,3.78,4,4.29,4.99,4.99,4.99,2.53,4.49,3.44,2.72,3.04,0.31,,
3.35,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.71,3.36,3.45,3.32,4.52,4.99,4.99,4.99,4.46,3.78,4.01,4.27,4.99,4.99,4.99,2.53,4.49,3.43,2.72,3.04,0.34,,
3.35,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.71,3.36,3.45,3.33,4.52,4.99,4.99,4.99,4.46,3.78,4.01,4.27,4.99,4.99,4.99,2.53,4.49,3.44,2.72,3.04,0.38,,
3.36,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.71,3.35,3.45,3.33,4.52,4.99,4.99,4.99,4.46,3.78,4.01,4.29,4.99,4.99,4.99,2.53,4.49,3.44,2.72,3.04,0.42,,
3.35,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.7,3.35,3.45,3.33,4.57,4.99,4.99,4.99,4.47,3.78,4,4.3,4.99,4.99,4.99,2.52,4.5,3.44,2.72,3.04,0.45,,
3.36,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.7,3.35,3.45,3.33,4.56,4.99,4.99,4.99,4.49,3.78,3.99,4.29,4.99,4.99,4.99,2.52,4.5,3.44,2.72,3.04,0.49,,
3.36,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.69,3.35,3.44,3.33,4.56,4.99,4.99,4.99,4.48,3.78,4,4.29,4.99,4.99,4.99,2.53,4.5,3.44,2.72,3.04,0.53,,
3.36,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.69,3.35,3.45,3.33,4.56,4.99,4.99,4.99,4.48,3.78,4.01,4.29,4.99,4.99,4.99,2.54,4.49,3.44,2.72,3.04,0.56,,
3.36,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.68,3.36,3.45,3.33,4.56,4.99,4.99,4.99,4.49,3.78,4.01,4.29,4.99,4.99,4.99,2.54,4.49,3.44,2.73,3.04,0.6,,
3.36,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.69,3.35,3.45,3.32,4.56,4.99,4.99,4.99,4.5,3.78,4.01,4.3,4.99,4.99,4.99,2.54,4.49,3.44,2.73,3.04,0.64,,
3.36,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.67,3.35,3.45,3.32,4.56,4.99,4.99,4.99,4.5,3.78,4.01,4.29,4.99,4.99,4.99,2.56,4.49,3.43,2.73,3.04,0.67,,
3.35,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.68,3.35,3.45,3.33,4.56,4.99,4.99,4.99,4.5,3.78,4.01,4.29,4.99,4.99,4.99,2.55,4.49,3.43,2.72,3.04,0.71,,
3.35,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.68,3.35,3.45,3.33,4.56,4.99,4.99,4.99,4.5,3.78,4,4.29,4.99,4.99,4.99,2.54,4.48,3.42,2.72,3.04,0.75,,
3.35,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.68,3.35,3.44,3.33,4.56,4.99,4.99,4.99,4.5,3.78,4.01,4.29,4.99,4.99,4.99,2.53,4.48,3.43,2.72,3.04,0.79,,
3.35,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.67,3.35,3.44,3.34,4.56,4.99,4.99,4.99,4.49,3.77,4.01,4.28,4.99,4.99,4.99,2.53,4.48,3.42,2.71,3.04,0.82,,
3.35,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.67,3.35,3.45,3.35,4.56,4.99,4.99,4.99,4.49,3.77,4.01,4.29,4.99,4.99,4.99,2.53,4.48,3.42,2.71,3.03,0.86,,
3.35,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.67,3.35,3.45,3.35,4.56,4.99,4.99,4.99,4.48,3.77,4.01,4.3,4.99,4.99,4.99,2.54,4.48,3.42,2.71,3.04,0.9,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.66,3.34,3.45,3.34,4.56,4.99,4.99,4.99,4.49,3.77,4.01,4.29,4.99,4.99,4.99,2.54,4.47,3.42,2.72,3.03,0.93,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.66,3.35,3.45,3.34,4.56,4.99,4.99,4.99,4.49,3.77,4.02,4.29,4.99,4.99,4.99,2.53,4.47,3.42,2.72,3.03,0.97,,
3.35,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.66,3.35,3.44,3.35,4.56,4.99,4.99,4.99,4.49,3.77,4.01,4.29,4.99,4.99,4.99,2.53,4.48,3.42,2.71,3.03,1.01,,
3.35,4.22,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.67,3.34,3.44,3.34,4.56,4.99,4.99,4.99,4.48,3.78,4.01,4.3,4.99,4.99,4.99,2.53,4.47,3.42,2.72,3.03,1.04,,
3.35,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.67,3.34,3.45,3.34,4.56,4.99,4.99,4.99,4.48,3.78,4.01,4.29,4.99,4.99,4.99,2.53,4.48,3.42,2.71,3.03,1.08,,
3.35,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.66,3.34,3.45,3.34,4.56,4.99,4.99,4.99,4.48,3.78,4.02,4.3,4.99,4.99,4.99,2.52,4.47,3.42,2.72,3.04,1.12,,
3.35,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.67,3.34,3.44,3.34,4.56,4.99,4.99,4.99,4.47,3.78,4.02,4.3,4.99,4.99,4.99,2.53,4.47,3.43,2.71,3.03,1.15,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.67,3.34,3.44,3.34,4.56,4.99,4.99,4.99,4.48,3.78,4.02,4.3,4.99,4.99,4.99,2.53,4.47,3.42,2.72,3.03,1.19,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.67,3.34,3.44,3.35,4.56,4.99,4.99,4.99,4.47,3.78,4.02,4.3,4.99,4.99,4.99,2.53,4.48,3.42,2.72,3.03,1.23,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.67,3.34,3.44,3.34,4.56,4.99,4.99,4.99,4.48,3.78,4.01,4.3,4.99,4.99,4.99,2.53,4.48,3.43,2.72,3.04,1.26,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.67,3.34,3.44,3.35,4.56,4.99,4.99,4.99,4.48,3.78,4.02,4.3,4.99,4.99,4.99,2.52,4.47,3.43,2.72,3.04,1.3,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.67,3.34,3.43,3.34,4.56,4.99,4.99,4.99,4.48,3.78,4.01,4.3,4.99,4.99,4.99,2.52,4.48,3.42,2.72,3.03,1.34,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.67,3.34,3.44,3.34,4.56,4.99,4.99,4.99,4.48,3.78,4.01,4.3,4.99,4.99,4.99,2.52,4.48,3.41,2.71,3.04,1.38,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.68,3.34,3.43,3.34,4.56,4.99,4.99,4.99,4.48,3.78,4.01,4.29,4.99,4.99,4.99,2.53,4.48,3.41,2.72,3.04,1.41,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.68,3.34,3.44,3.35,4.56,4.99,4.99,4.99,4.47,3.79,4.01,4.3,4.99,4.99,4.99,2.53,4.48,3.42,2.72,3.04,1.45,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.67,3.34,3.44,3.33,4.56,4.99,4.99,4.99,4.48,3.78,4.01,4.3,4.99,4.99,4.99,2.53,4.49,3.42,2.72,3.03,1.49,,
3.34,4.22,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.67,3.34,3.44,3.33,4.56,4.99,4.99,4.99,4.48,3.78,4.01,4.3,4.99,4.99,4.99,2.54,4.49,3.42,2.72,3.03,1.52,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.69,3.34,3.44,3.34,4.56,4.99,4.99,4.99,4.47,3.79,4.02,4.3,4.99,4.99,4.99,2.55,4.49,3.42,2.73,3.04,1.56,,
3.34,4.22,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.68,3.34,3.43,3.34,4.56,4.99,4.99,4.99,4.48,3.79,4.01,4.3,4.99,4.99,4.99,2.54,4.48,3.42,2.73,3.03,1.6,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.66,3.34,3.43,3.34,4.56,4.99,4.99,4.99,4.47,3.79,4.01,4.3,4.99,4.99,4.99,2.52,4.48,3.41,2.72,3.03,1.63,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.66,3.34,3.43,3.35,4.56,4.99,4.99,4.99,4.48,3.79,4.01,4.3,4.99,4.99,4.99,2.52,4.48,3.41,2.71,3.03,1.67,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.65,3.34,3.43,3.35,4.56,4.99,4.99,4.99,4.48,3.78,4.01,4.29,4.99,4.99,4.99,2.5,4.48,3.41,2.71,3.02,1.71,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.65,3.34,3.43,3.34,4.56,4.99,4.99,4.99,4.47,3.79,4.01,4.3,4.99,4.99,4.99,2.49,4.48,3.41,2.71,3.03,1.74,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.65,3.34,3.44,3.34,4.56,4.99,4.99,4.99,4.49,3.79,4.01,4.3,4.99,4.99,4.99,2.5,4.48,3.4,2.71,3.03,1.78,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.64,3.34,3.44,3.34,4.56,4.99,4.99,4.99,4.48,3.79,4.01,4.29,4.99,4.99,4.99,2.5,4.48,3.41,2.71,3.03,1.82,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.65,3.34,3.44,3.34,4.56,4.99,4.99,4.99,4.48,3.79,4.01,4.29,4.99,4.99,4.99,2.5,4.47,3.41,2.71,3.02,1.85,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.65,3.34,3.43,3.34,4.56,4.99,4.99,4.99,4.48,3.78,4.01,4.3,4.99,4.99,4.99,2.48,4.47,3.41,2.71,3.03,1.89,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.63,3.34,3.44,3.34,4.56,4.99,4.99,4.99,4.48,3.79,4,4.31,4.99,4.99,4.99,2.49,4.48,3.41,2.71,3.02,1.93,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.65,3.34,3.43,3.35,4.56,4.99,4.99,4.99,4.48,3.79,4.01,4.3,4.99,4.99,4.99,2.48,4.47,3.41,2.71,3.02,1.96,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.64,3.34,3.44,3.35,4.56,4.99,4.99,4.99,4.48,3.79,4.01,4.3,4.99,4.99,4.99,2.48,4.48,3.41,2.71,3.02,2,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.65,3.34,3.43,3.34,4.56,4.99,4.99,4.99,4.48,3.79,4.01,4.3,4.99,4.99,4.99,2.49,4.47,3.41,2.71,3.02,2.04,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.64,3.34,3.43,3.33,4.55,4.99,4.99,4.99,4.48,3.79,4,4.3,4.99,4.99,4.99,2.49,4.47,3.41,2.71,3.03,2.08,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.62,3.34,3.43,3.33,4.55,4.99,4.99,4.99,4.49,3.79,4.01,4.3,4.99,4.99,4.99,2.47,4.47,3.41,2.71,3.02,2.11,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.62,3.34,3.43,3.33,4.55,4.99,4.99,4.99,4.48,3.79,4.02,4.31,4.99,4.99,4.99,2.47,4.47,3.41,2.71,3.02,2.15,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.62,3.34,3.43,3.34,4.56,4.99,4.99,4.99,4.48,3.78,4.01,4.3,4.99,4.99,4.99,2.48,4.47,3.41,2.71,3.02,2.19,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.62,3.34,3.43,3.34,4.55,4.99,4.99,4.99,4.48,3.78,4.01,4.29,4.99,4.99,4.99,2.49,4.47,3.41,2.71,3.02,2.22,,
3.33,4.22,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.62,3.34,3.42,3.34,4.56,4.99,4.99,4.99,4.49,3.8,4.01,4.3,4.99,4.99,4.99,2.5,4.48,3.41,2.71,3.02,2.26,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.62,3.34,3.42,3.33,4.55,4.99,4.99,4.99,4.5,3.8,4.01,4.3,4.99,4.99,4.99,2.5,4.46,3.41,2.72,3.02,2.3,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.63,3.33,3.42,3.33,4.56,4.99,4.99,4.99,4.51,3.81,4.01,4.3,4.99,4.99,4.99,2.5,4.47,3.41,2.72,3.02,2.33,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.63,3.34,3.42,3.33,4.56,4.99,4.99,4.99,4.51,3.81,4.01,4.3,4.99,4.99,4.99,2.5,4.47,3.4,2.72,3.02,2.37,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.61,3.34,3.42,3.33,4.55,4.99,4.99,4.99,4.51,3.8,4.02,4.3,4.99,4.99,4.99,2.5,4.47,3.4,2.72,3.03,2.41,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.6,3.33,3.42,3.33,4.56,4.99,4.99,4.99,4.51,3.8,4.02,4.3,4.99,4.99,4.99,2.5,4.47,3.41,2.72,3.03,2.44,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.61,3.33,3.43,3.33,4.56,4.99,4.99,4.99,4.51,3.81,4.02,4.31,4.99,4.99,4.99,2.5,4.47,3.41,2.73,3.04,2.48,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.59,3.33,3.41,3.32,4.55,4.99,4.99,4.99,4.54,3.81,4.02,4.3,4.99,4.99,4.99,2.52,4.49,3.4,2.73,3.03,2.52,,
3.34,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.61,3.33,3.4,3.32,4.55,4.99,4.99,4.99,4.58,3.82,4.02,4.31,4.99,4.99,4.99,2.5,4.49,3.4,2.72,3.03,2.55,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.6,3.33,3.4,3.33,4.55,4.99,4.99,4.99,4.52,3.82,4.02,4.31,4.99,4.99,4.99,2.5,4.48,3.39,2.71,3.03,2.59,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.6,3.33,3.41,3.33,4.55,4.99,4.99,4.99,4.52,3.81,4.02,4.31,4.99,4.99,4.99,2.5,4.48,3.4,2.71,3.02,2.63,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.58,3.33,3.42,3.33,4.56,4.99,4.99,4.99,4.51,3.81,4.01,4.31,4.99,4.99,4.99,2.5,4.47,3.41,2.71,3.03,2.66,,
3.33,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.58,3.33,3.42,3.34,4.55,4.99,4.99,4.99,4.51,3.81,4.01,4.32,4.99,4.99,4.99,2.49,4.48,3.4,2.71,3.03,2.7,,
3.32,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.59,3.33,3.42,3.34,4.55,4.99,4.99,4.99,4.5,3.8,4.01,4.31,4.99,4.99,4.99,2.49,4.48,3.39,2.71,3.02,2.74,,
3.32,4.24,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.58,3.33,3.42,3.34,4.55,4.99,4.99,4.99,4.5,3.8,4.02,4.31,4.99,4.99,4.99,2.48,4.49,3.39,2.71,3.02,2.78,,
3.32,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.97,4.57,3.33,3.42,3.33,4.55,4.99,4.99,4.99,4.51,3.8,4.02,4.3,4.99,4.99,4.99,2.49,4.49,3.38,2.71,3.02,2.81,,
3.32,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.57,3.33,3.42,3.33,4.55,4.99,4.99,4.99,4.51,3.8,4.02,4.31,4.99,4.99,4.99,2.48,4.48,3.38,2.71,3.02,2.85,,
3.31,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.58,3.33,3.42,3.33,4.55,4.99,4.99,4.99,4.51,3.81,4.02,4.3,4.99,4.99,4.99,2.48,4.48,3.38,2.71,3.02,2.89,,
3.31,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.58,3.33,3.41,3.33,4.54,4.99,4.99,4.99,4.51,3.81,4.02,4.31,4.99,4.99,4.99,2.47,4.48,3.38,2.71,3.02,2.92,,
3.31,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.6,3.33,3.42,3.33,4.55,4.99,4.99,4.99,4.51,3.81,4.02,4.31,4.99,4.99,4.99,2.47,4.47,3.38,2.71,3.02,2.96,,
3.32,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.6,3.33,3.42,3.33,4.54,4.99,4.99,4.99,4.52,3.81,4.02,4.31,4.99,4.99,4.99,2.48,4.47,3.37,2.71,3.02,3,,
3.31,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.59,3.33,3.42,3.33,4.55,4.99,4.99,4.99,4.51,3.81,4.03,4.31,4.99,4.99,4.99,2.48,4.47,3.38,2.71,3.02,3.03,,
3.31,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.6,3.33,3.42,3.33,4.54,4.99,4.99,4.99,4.51,3.81,4.03,4.31,4.99,4.99,4.99,2.48,4.46,3.38,2.71,3.02,3.07,,
3.31,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.96,4.6,3.33,3.42,3.33,4.55,4.99,4.99,4.99,4.51,3.8,4.02,4.31,4.99,4.99,4.99,2.48,4.46,3.38,2.71,3.03,3.11,,
3.31,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.61,3.33,3.42,3.32,4.54,4.99,4.99,4.99,4.51,3.8,4.02,4.31,4.99,4.99,4.99,2.49,4.46,3.38,2.72,3.03,3.14,,
3.31,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.62,3.33,3.42,3.32,4.54,4.99,4.99,4.99,4.51,3.8,4.03,4.31,4.99,4.99,4.99,2.49,4.46,3.37,2.72,3.02,3.18,,
3.31,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.63,3.33,3.42,3.32,4.54,4.99,4.99,4.99,4.51,3.81,4.03,4.31,4.99,4.99,4.99,2.5,4.46,3.38,2.72,3.03,3.22,,
3.31,4.23,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,1.95,4.62,3.33,3.42,3.32,4.54,4.99,4.99,4.99,4.51,3.81,4.02,4.31,4.99,4.99,4.99,2.49,4.46,3.38,2.72,3.03,3.25,,
